"cokey"	"ave_no3_leach"	"ave_nh3_vol"	"bulk_dens"	"ph"	"wthirdbar"	"wfifteenbar"	"awc"	"clay_frac"	"sand_frac"	"ksat"	"om"
"12501122"	"141.21"	"3.08"	"1.53"	"6.20"	"15.30"	"6.10"	"0.11"	"6.00"	"84.00"	"92.00"	"1.50"
"12501123"	"142.00"	"3.11"	"1.53"	"6.20"	"15.30"	"6.10"	"0.11"	"6.00"	"84.00"	"92.00"	"1.50"
"12501125"	"161.11"	"3.27"	"1.53"	"6.20"	"15.30"	"6.10"	"0.11"	"6.00"	"84.00"	"92.00"	"1.50"
"12509282"	"139.74"	"5.75"	"1.45"	"7.00"	"26.50"	"10.90"	"0.22"	"14.00"	"14.20"	"9.00"	"2.00"
"12509285"	"143.57"	"6.31"	"1.45"	"7.00"	"26.50"	"10.90"	"0.22"	"14.00"	"14.20"	"9.00"	"2.00"
"12509286"	"139.35"	"7.61"	"1.45"	"7.00"	"25.60"	"9.80"	"0.22"	"14.00"	"14.20"	"9.00"	"1.20"
"12509288"	"142.06"	"6.93"	"1.45"	"7.00"	"26.50"	"10.90"	"0.22"	"14.00"	"14.20"	"9.00"	"2.00"
"12509291"	"133.27"	"7.65"	"1.45"	"7.00"	"25.60"	"9.80"	"0.22"	"14.00"	"14.20"	"9.00"	"1.20"
"12509425"	"151.87"	"2.92"	"1.57"	"6.10"	"14.40"	"5.10"	"0.11"	"5.00"	"85.00"	"92.00"	"1.00"
"12509530"	"158.54"	"2.98"	"1.57"	"6.10"	"14.40"	"5.10"	"0.11"	"5.00"	"85.00"	"92.00"	"1.00"
"12509671"	"136.57"	"3.68"	"1.47"	"6.80"	"25.60"	"11.50"	"0.20"	"18.00"	"50.00"	"9.00"	"2.23"
"12541283"	"143.23"	"4.07"	"1.30"	"6.20"	"14.50"	"5.30"	"0.11"	"6.00"	"87.00"	"92.00"	"1.50"
"12541284"	"160.41"	"4.40"	"1.40"	"6.50"	"19.30"	"9.60"	"0.17"	"10.00"	"63.90"	"28.00"	"2.50"
"12541301"	"149.93"	"5.47"	"1.45"	"6.70"	"25.90"	"10.20"	"0.23"	"14.00"	"14.20"	"9.00"	"1.50"
"12541372"	"147.69"	"2.97"	"1.45"	"6.20"	"17.50"	"8.00"	"0.13"	"9.00"	"67.40"	"28.00"	"2.00"
"12541373"	"155.99"	"3.15"	"1.45"	"6.20"	"17.50"	"8.00"	"0.13"	"9.00"	"67.40"	"28.00"	"2.00"
"12541374"	"142.78"	"3.23"	"1.45"	"6.20"	"16.80"	"7.40"	"0.13"	"9.00"	"67.40"	"28.00"	"1.50"
"12541607"	"135.18"	"3.04"	"1.57"	"6.10"	"14.40"	"5.10"	"0.11"	"5.00"	"85.00"	"92.00"	"1.00"
"12541688"	"145.10"	"3.18"	"1.57"	"6.10"	"14.40"	"5.10"	"0.11"	"5.00"	"85.00"	"92.00"	"1.00"
"12541689"	"148.34"	"3.22"	"1.57"	"6.10"	"14.40"	"5.10"	"0.11"	"5.00"	"85.00"	"92.00"	"1.00"
"12541692"	"133.86"	"2.94"	"1.53"	"6.20"	"15.30"	"6.10"	"0.11"	"6.00"	"84.00"	"92.00"	"1.50"
"12541693"	"136.21"	"2.95"	"1.53"	"6.20"	"15.30"	"6.10"	"0.11"	"6.00"	"84.00"	"92.00"	"1.50"
